disorder name 	icd-10 code	source
démence à corps de lewy 	G31.83	wikidata
dysgénésie gonadique 	Q99.1	wikidata
épanchement pleural 	J90	wikidata
mort maternel 	O95	wikidata
troubles lier à le alcoolisation chronique 	F10	wikidata
ophtalmopathie basedowien 	H06.2	wikidata
cancer de pénis 	C60.9	wikidata
maladie de hirschsprung 	Q43.1	wikidata
toxocarose 	B83.0	wikidata
syndrome de goodpasture 	M31.0	wikidata
épendymome 	C71	wikidata
épiglottite 	J05.10	wikidata
épispadias 	Q64.0	wikidata
éréthisme mercuriel 	T56.1	wikidata
cryptosporidiose 	A07.2	wikidata
érosion dentaire 	K03.2	wikidata
béance tubaire 	H69.00	wikidata
fibrosarcome 	C49	wikidata
gliome 	C71	wikidata
ostéopénie 	M85.8	wikidata
colique 	R10.4	wikidata
trouble de somatisation 	F45.0	wikidata
bloc fasciculaire antérieur gauche 	I44.4	wikidata
excoriation 	L98.1	wikidata
poumon de fermier 	J67.0	wikidata
fasciculation 	R25.3	wikidata
maladie de binswanger 	I67.3	wikidata
fibromatose 	M72.9	wikidata
hémimélie fibulaire 	Q73.8	wikidata
histiocytose 	C96.1	wikidata
emphysème sous-cutané 	T81.8	wikidata
sidérose 	J63.4	wikidata
traumatisme médullaire 	T09.3	wikidata
maladie de sever 	M92.6	wikidata
maladie de norrie 	Q15.8	wikidata
granulome inguinal 	A58	wikidata
neurofibrome 	D36.1	wikidata
syndrome de maffucci 	Q78.4	wikidata
tendinose 	M679	wikidata
maladie de niemann-pick 	E75.249	wikidata
hyperacousie 	H93.2	wikidata
syndrome de cronkhite-canada 	K63.8	wikidata
rétinopathie de prématuré 	H35.17	wikidata
dégénérescence combiner subaiguë de le moelle épinière 	G32.0	wikidata
aplasia cuti congenita 	Q84.8	wikidata
dacryoadénite 	H04.00	wikidata
maladie de ledderhose 	M72.2	wikidata
syndrome malin de neuroleptique 	G21.0	wikidata
leucoplasie chevelu buccal 	K13.3	wikidata
hallux rigidus 	M20.2	wikidata
syndrome de fraser 	Q87.0	wikidata
nycturie 	R35	wikidata
trou maculaire 	H35.3	wikidata
thrombose veineux cérébral 	I67.6	wikidata
thymome 	D15.0	wikidata
rétinopathie séreux central 	H35.7	wikidata
myosite 	M60.9	wikidata
hyperprolactinémie 	E22.1	wikidata
néphroangiosclérose 	N26.9	wikidata
hyalinose segmentaire et focal 	N00	wikidata
neurodégénerescence associer à le pantothénate kinase 	G23.0	wikidata
hypertrophie de végétations adénoïde 	J35.2	wikidata
sternum bifide 	Q76.7	wikidata
syndrome de malabsorption 	K90	wikidata
obstruction de conduire éjaculateur 	N50.8	wikidata
dysplasie polyépiphysaire 	Q77.3	wikidata
corps étranger dans le voie digestif 	T18	wikidata
granulome à corps étranger 	L92.3	wikidata
carence en iode 	E01.2	wikidata
situs inversus 	Q89.3	wikidata
schizencéphalie 	Q04.6	wikidata
gardasil 	N90.3	wikidata
dépression atypique 	F32.8	wikidata
maladie endocrinien 	E34.9	wikidata
gnathostomose 	B83.1	wikidata
syndrome mela 	E88.41	wikidata
arachnoïdite 	G03	wikidata
trouble factice 	F68.11	wikidata
asphyxie néonatal 	P84	wikidata
paralysie périodique thyrotoxique 	G72.3	wikidata
abcès dentaire 	K04.6	wikidata
hypercholestérolémie familial 	E78.0	wikidata
le crosse virus 	A83.5	wikidata
macrodontia 	K00.2	wikidata
mal de pott 	M49.0	wikidata
chromomycose 	B43.9	wikidata
colique hépatique 	K80.5	wikidata
cuti laxa 	Q82.8	wikidata
migraine ophtalmique 	G43.8	wikidata
hernie ombilical 	Q79.2	wikidata
thrombose veineux 	I82	wikidata
syndrome de mowat-wilson 	Q43.1	wikidata
ostéomyélite multifocal chronique récurrent 	M86.3	wikidata
fructosurie 	E74.1	wikidata
kératopathie bulleux 	H18.1	wikidata
acarophobie 	F40.2	wikidata
acrosyndrome 	I73.8	wikidata
amylose aa 	E85	wikidata
trouble de mouvement stéréotyper 	F98.4	wikidata
angioléiomyome 	D21	wikidata
angine herpétique 	B00.9	wikidata
anomalie de neuhauser 	Q25.4	wikidata
anthropozoonose 	A28.9	wikidata
claudication 	I73.9	wikidata
diabète insipide néphrogénique 	N25.1	wikidata
absence épileptique de le enfant 	G40.A	wikidata
absence épileptique atonique 	G40.3	wikidata
syndrome de le femme ou de le homme battre 	T74.1	wikidata
maladie de le oesophage 	K22.9	wikidata
syndrome de sevrage alcoolique 	F10.3	wikidata
hyperparathyroïdie primitif 	E21.0	wikidata
blessure de le tête 	S09	wikidata
bursite trochantérienne 	M70.6	wikidata
cancer duodénal 	C17.0	wikidata
capillarite 	I78.8	wikidata
cardiomyopathie de peripartum 	O90.3	wikidata
goitre multinodulaire toxique 	E05.2	wikidata
troubles menstruel 	N95	wikidata
maladie de système pileux 	Q84.2	wikidata
pyodermite 	L08.0	wikidata
crampe abdominal 	R10.4	wikidata
cyclosporose 	A07.4	wikidata
maladie de machado- joseph 	G11.1	wikidata
différence de longueur de jambe 	M21.7	wikidata
hématome sous-unguéal 	L60.8	wikidata
maladie de le oeil 	H44.9	wikidata
déficit en fructose-1,6-diphosphatase 	E74.19	wikidata
déficit en pyruvate kinase 	D55.2	wikidata
déficit en protéine s 	D68.59	wikidata
déficit immunitaire primitif 	D84.9	wikidata
dégénérescence rétinien 	H35.4	wikidata
nosophobie 	F45.2	wikidata
encéphalite de californie 	A83.5	wikidata
exophorie 	H50.5	wikidata
fistule lacrymal 	H04.6	wikidata
fièvre de pontiac 	A48.2	wikidata
maladie de paget extramammaire 	C44	wikidata
fracture de sternum 	S22.2	wikidata
pénicillose 	B48.4	wikidata
typhus murin 	A75.2	wikidata
panbronchiolite diffuser 	J21.9	wikidata
syndrome de pallister-hall 	D33.0	wikidata
anisakiase 	B81.0	wikidata
hypervitaminose avoir 	E67.0	wikidata
glaucome congénital 	Q15.0	wikidata
glaucome pigmentaire 	H40.1	wikidata
syndrome de evan 	D69.3	wikidata
épidermolyse bulleux simple 	Q81.0	wikidata
histiocytose céphalique bénin 	D76.3	wikidata
hyposialie 	K11.7	wikidata
hémopéricarde 	S26.0	wikidata
hétérophorie 	H50.5	wikidata
syndrome de inhalation méconial 	P24.01	wikidata
syndrome délétion 22q133 	Q93	wikidata
traitement hormonal de le ménopause 	N95.0	wikidata
microsporidiose 	B60.8	wikidata
croûte de lait 	L21.0	wikidata
neurofibromatose de type ii 	D33	wikidata
vomissement fécaloïde 	R11.13	wikidata
syndrome de conn 	E26.01	wikidata
myome 	D21	wikidata
pied tomber 	M21.3	wikidata
fracture de monteggia 	S52.0	wikidata
glycogénose type 6 	E74.09	wikidata
morsicatio buccarum 	K13.1	wikidata
maladie de moyamoya 	I67.5	wikidata
mucolipidose 	E77.0	wikidata
myoglobinurie 	R82.1	wikidata
bromopride 	K83	wikidata
prognathisme 	M26.10	wikidata
maladie de shwachman 	D61.0	wikidata
oligoménorrhée 	N91.5	wikidata
fracture costal 	S22.4	wikidata
parotidite 	K11.2	wikidata
vaccinia virus 	B08.0	wikidata
oxyurose 	B80	wikidata
trouble de déficit de le attention former avec inattention prédominant 	F90.0	wikidata
maladie de kennedy 	G12.1	wikidata
cuti marmorata telangiectatica congenita 	L95.0	wikidata
spondylolyse 	M43.00	wikidata
sialadénite 	K11.20	wikidata
hypertrophie ventriculaire droite 	I51.7	wikidata
phobie spécifique 	F40.2	wikidata
albinisme oculaire type 1 	E70.3	wikidata
séquence de potter 	Q60.6	wikidata
glycoprotéinose 	E77	wikidata
ophtalmoplégie externe progressif 	H49.4	wikidata
kyste de cholédoque 	Q44.4	wikidata
syndrome de alper 	G31.81	wikidata
tungose 	B88.1	wikidata
dyskinésie biliaire 	K82.8	wikidata
cancer de coeur 	C38.0	wikidata
cancer de le oropharynx 	C10.9	wikidata
angor instable 	I20.0	wikidata
syndrome de van der woude 	Q38.0	wikidata
malformation utérin 	Q51	wikidata
ostéolyse 	M89.5	wikidata
syndrome de insensibilité partiel à androgène 	E34.2	wikidata
syndrome de widal 	J45.8	wikidata
neuropathie diabetique 	E10.4	wikidata
effet indesirable 	T78	wikidata
arachnodactylie 	Q87.4	wikidata
parapsoriasis 	L41.9	wikidata
crise paroxystique 	G40	wikidata
œsophagite à éosinophile 	K20.0	wikidata
colite microscopique 	K52.8	wikidata
nodule pulmonaire solitaire 	R91.1	wikidata
gastroentérite à éosinophile 	K52.8	wikidata
piedra noir 	B36.3	wikidata
dégénérescence pellucide marginal 	H18.7	wikidata
paralysie bulbaire 	G12.2	wikidata
prolapsus anal 	K62.3	wikidata
syndrome de préexcitation 	I45.6	wikidata
adénome pléomorphe 	D11	wikidata
tumeur à cellule géant de le gaine tendineux 	D21	wikidata
maladie de niemann-pick type c 	E75.2	wikidata
péliose hépatique 	K76.4	wikidata
allergie médicamenteux 	T88.7	wikidata
anémie macrocytaire 	D52.5	wikidata
abcès péri-anal 	K61.0	wikidata
hémangiome capillaire 	Q82.5	wikidata
infection à cytomégaloviru 	B25	wikidata
hémospermie 	N50.1	wikidata
maladie de ongle 	L60.9	wikidata
prédiabète 	R73.09	wikidata
thélaziose 	B83.8	wikidata
sténose et atrésie pulmonaire 	Q25.5	wikidata
pied bot talus 	Q66.4	wikidata
intoxication à toluène 	T52.2	wikidata
intoxication à organophosphoré 	T60.0	wikidata
isomérisme 	Q87.8	wikidata
kyste synovial 	M71.3	wikidata
carence en vitamine b12 	E53.8	wikidata
troubles de le excitation chez le femme 	F52.2	wikidata
le obésité infantile 	E66	wikidata
lipodystrophie congénital de berardinelli-seip 	E88.1	wikidata
ulcère de le bouche 	K12	wikidata
livedo 	L95.0	wikidata
loxoscelisme 	T63.3	wikidata
tumeur de glande salivaire 	C07	wikidata
lymphadénite 	L04.9	wikidata
actinobacillose 	A28.8	wikidata
bromure de distigmine 	N31.2	wikidata
acidémie isovalérique 	E71.110	wikidata
blessure cérébral 	S06	wikidata
maladie de scheie 	E76.0	wikidata
maladie de chaîne lourd 	C88.2	wikidata
fistule labyrinthique 	H83.1	wikidata
hypertension rénovasculaire 	I15.0	wikidata
monosomie 1p36 	Q93.5	wikidata
trouble douloureux 	F45.4	wikidata
anémier microcytaire 	D50.8	wikidata
hydrocèle testiculaire 	N43.3	wikidata
adrénomyéloneuropathie 	E71.522	wikidata
microangiopathie thrombotique 	M31.1	wikidata
monosomie 	Q96	wikidata
morphée 	L94.0	wikidata
muguet buccal 	B37.9	wikidata
ménométrorragie 	N92.1	wikidata
pharmacopsychose 	F19	wikidata
nanisme 3m 	Q87.1	wikidata
trouble neurologique 	G98.8	wikidata
néphropathie glomérulaire 	N00	wikidata
névralgie de arnold 	R51	wikidata
omodysplasie 	Q78.8	wikidata
otocéphalie 	Q18.2	wikidata
ovalocytose 	D58.1	wikidata
encéphalite à arboviru 	A83	wikidata
problème sexuel relationnel 	F66.2	wikidata
prurigo 	L28.1	wikidata
psychose hallucinatoire chronique 	F28	wikidata
hypobêtalipoprotéinémie 	E78.6	wikidata
trouble organique de le personnalité 	F07.0	wikidata
souffle vasculaire 	R09.8	wikidata
paralysie de klumpke 	P14.1	wikidata
rhumatisme palindromique 	M12.30	wikidata
lipoatrophie 	E88.1	wikidata
arhinie 	Q30.1	wikidata
syndrome ipex 	E31.0	wikidata
syndrome child 	Q87.8	wikidata
syndrome rapadilano 	Q87.1	wikidata
syndrome de fièvre sévère avec thrombocytopénie 	A99	wikidata
syndrome parkinsonien post-encéphalitique 	G21.3	wikidata
syndrome myasthénique congénital 	G70.2	wikidata
syndrome éosinophilie–myalgie 	M35.8	wikidata
syndrome de le oeil fantôme 	G54.7	wikidata
abrasion de le corner 	S05.0	wikidata
tache de naissance 	Q82.5	wikidata
taie cornéen 	H17.9	wikidata
tendinopathie de le coiffe de rotateur 	S46.0	wikidata
piqûre de abeille 	T63.4	wikidata
modification de le personnalité 	F62	wikidata
trombidiose 	B88.0	wikidata
trouble bipolaire non spécifier 	F31.9	wikidata
trouble de le maturation sexuel 	F66.0	wikidata
troubles de stockage de lipide 	E75.6	wikidata
écoulement mamelonnaire 	N64.5	wikidata
uvulite 	K12.2	wikidata
psoriasis unguéal 	L62.8	wikidata
acidurie 3-méthylglutaconique 	E71.1	wikidata
alastrim 	B03	wikidata
parasitose intestinal 	B71	wikidata
salpingite isthmique noueux 	N70.9	wikidata
scléroedème 	M34.8	wikidata
trouble de le alimentation sélectif et évitant 	F50.8	wikidata
cystadénocarcinome séreux 	C56.9	wikidata
hématométrie 	N85.7	wikidata
herpès génital 	A60	wikidata
tyrosinémie type 2 	E70.2	wikidata
maladie de le épaule 	M75	wikidata
maladie de surcharge en acide sialique libre 	E77.8	wikidata
accident vasculaire cérébral silencieux 	I64	wikidata
maladie de tissu mou 	M79	wikidata
paralysie facial 	G51.0	wikidata
trouble spécifique de développement 	F83	wikidata
enthésopathie spinal 	M46.0	wikidata
atrophie musculaire spinal 	G12	wikidata
maladie de le rate 	D73.9	wikidata
spondylopathie 	M48	wikidata
dysplasie spondylo- épiphysaire congénital 	Q77.7	wikidata
fuite spontané de liquide céphalo- rachidien 	G97.0	wikidata
effet stener 	S63.4	wikidata
ténosynovite sténosant 	M65.4	wikidata
neurofibromatose de type i 	Q85.0	wikidata
intoxication à le strychnine 	T65.1	wikidata
bursite sous-acromial 	M75.5	wikidata
lupus érythémateux cutané subaigu 	L93.1	wikidata
cytostéatonécrose de nouveau-né 	P83.8	wikidata
troubles lier à le usage de substance 	F19	wikidata
amblyopie de suppression 	H53.03	wikidata
synpolydactylie 	Q70.2	wikidata
vascularite nécrosant systémique 	M30	wikidata
talinolol 	I48	wikidata
tanopox virus 	B08.8	wikidata
anomalie de taussig bing 	Q20.1	wikidata
maladie testiculaire 	E29	wikidata
cécité diurne 	H53.1	wikidata
carcinome thymique 	C37	wikidata
lymphome thyroïdien 	C96	wikidata
syndrome de tietz 	E70.3	wikidata
intoxication à le étain 	T56.6	wikidata
malformation dentaire 	K00	wikidata
résorption dentaire 	K03.3	wikidata
neuropathie optique toxique et carentiel 	H46.2	wikidata
tumeur de le trachée 	C33	wikidata
diabète néonatal transitoire 	P70.2	wikidata
amputation traumatique 	T14.7	wikidata
kyste de le mâchoire traumatique 	K09.2	wikidata
pied de immersion 	T69.0	wikidata
lèpre tuberculoïde 	A30.1	wikidata
péricardite tuberculeux 	A18.84	wikidata
tyrosinémie type 3 	E70.2	wikidata
compression de cordon ombilical 	P02.5	wikidata
maladie de upington 	M91.8	wikidata
prurit urémique 	L29.8	wikidata
syndrome urétral 	N34.3	wikidata
urétrocèle 	N81.0	wikidata
obstruction de col de le vessie 	N32.0	wikidata
maladie de le vessie 	Q64.1	wikidata
urinome 	N28.8	wikidata
névralgie post-herpétique 	G53.0	wikidata
mamelon inverser 	O92.0	wikidata
intolérance alimentaire 	Z71.3	wikidata
cardiomégalie 	I51.7	wikidata
tumeur carcinoïde 	E34.0	wikidata
tumeur germinal 	D29.2	wikidata
maladie de keshan 	E59	wikidata
aphasie réceptif 	F80.2	wikidata
ophiasis 	L63.2	wikidata
scombrotoxisme 	T61.1	wikidata
tyrosinémie type 1 	E70.2	wikidata
maladie de sly 	E76.29	wikidata
syndrome de pancoast-tobia 	C34.1	wikidata
maladie de batten 	E75.4	wikidata
ostéopétrose 	Q78.2	wikidata
érythème palmaire 	L53.8	wikidata
presbyacousie 	H91.1	wikidata
céphalée médicamenteux 	G44.41	wikidata
onychotillomanie 	F98.8	wikidata
maladie de le oreillette 	I49.5	wikidata
syndrome de lown-ganong-levin 	I45.6	wikidata
pseudarthrose 	M96.0	wikidata
transposition de gros vaisseau 	Q20.3	wikidata
porphyrie érythropoïétique congénital 	E80.0	wikidata
mycétome 	B47.9	wikidata
microtie 	Q17.2	wikidata
protoporphyrie érythropoïétique 	E80.0	wikidata
trigonocéphalie 	Q75.0	wikidata
syndrome de hyperstimulation ovarien 	N98.1	wikidata
mal perforer 	L97	wikidata
choc septique 	R57.2	wikidata
syndrome de soto 	Q87.3	wikidata
anorgasmie 	F52.3	wikidata
syndrome de klippel-feil 	Q76.1	wikidata
hypertrophie clitoridien 	Q52.6	wikidata
acné cosmetique 	L70.8	wikidata
insuffisance tricuspide 	I36.1	wikidata
sclérose concentrique de balo 	G37.0	wikidata
cancer de voie aérodigestif supérieur 	C07	wikidata
acrocéphalosyndactylie 	Q87.0	wikidata
craniopharyngiome 	D44.4	wikidata
séminome 	C62	wikidata
articuler croisé 	K07.2	wikidata
paralysie périodique 	G72.3	wikidata
mastopexie 	N64.81	wikidata
pneumopathie interstitiel diffuser idiopathique 	J84.112	wikidata
dermatite irritatif 	L24.9	wikidata
cancer de vagin 	C52	wikidata
oedème maculaire 	H35.8	wikidata
syndrome de weber 	G46.3	wikidata
maladie de leigh 	G31.82	wikidata
carcinome péritonéal primaire 	C48.2	wikidata
lentigo 	L81.4	wikidata
syndrome de liddle 	I15.1	wikidata
ectopie de cristallin 	Q12.1	wikidata
myosite à inclusion 	G72.41	wikidata
anomalie de sprengel 	Q74.0	wikidata
trichiasis 	H02.0	wikidata
nocardiose 	A43.9	wikidata
leucocorie 	H44.53	wikidata
insomnie 	G47.0	wikidata
fasciite 	M72.9	wikidata
maladie de kienböck 	M87.9	wikidata
retour veineux pulmonaire anormal 	Q26.4	wikidata
abcès de poumon 	J85.2	wikidata
lymphocèle 	I89.8	wikidata
papulose lymphomatoïde 	L41.2	wikidata
syndrome merrf 	E88.42	wikidata
histiocytofibrome malin 	C49	wikidata
rhabdomyosarcome 	C49	wikidata
marisque 	K64.4	wikidata
bronchite aigu 	J21	wikidata
mastodynie 	N64.4	wikidata
dermatophytose 	B35.9	wikidata
kyste médullaire de rein 	Q61.5	wikidata
amylose auriculaire isoler 	E85.4	wikidata
bêta thalassémie 	D56.1	wikidata
anévrisme de le aorte thoracique 	I71.2	wikidata
angiomyxome aggressif 	D17.5	wikidata
hyperparathyroïdie secondaire 	E21.1	wikidata
traumatisme maxillo facial 	S02.9	wikidata
bloc atrio- ventriculaire de 1er degré 	I44.0	wikidata
bloc atrio- ventriculaire de 3e degré 	I44.2	wikidata
globus hystericus 	F45.8	wikidata
iridocyclite hétérochromique de fuch 	H20.81	wikidata
sarcome myéloïde 	C92.30	wikidata
fistule vésicovaginal 	N82.0	wikidata
déficit en antithrombine iii 	D68.59	wikidata
troubles de le identité sexué de le enfant 	F64.2	wikidata
dyskératose congénital 	Q82.8	wikidata
ectopie rénal 	Q63.2	wikidata
dysplasie fronto- nasale 	Q75.8	wikidata
épiblépharon 	Q10.3	wikidata
épidermolyse bulleux jonctionnelle 	Q81.8	wikidata
épidermolyse bulleux acquérir 	L12.30	wikidata
episclérite 	H15.1	wikidata
érythrodermie ichtyosiforme congénital 	Q80.2	wikidata
réaction médicamenteux idiosyncrasique 	T78.4	wikidata
fistule recto- vaginal 	Q52.2	wikidata
dépendance à cannabis 	F12.2	wikidata
synovite villonodulaire pigmentaire 	M12.2	wikidata
maladie de eale 	H35.0	wikidata
maladie de grover 	L11.1	wikidata
granulome apical 	K04.5	wikidata
pneumonie bactérien 	J15.9	wikidata
lipoatrophie semi-circulaire 	L90.8	wikidata
hidradénome papillifère 	C44.5	wikidata
hygrome sous-dural 	I62.0	wikidata
iléite 	K52.9	wikidata
incontinence urinaire de effort 	N39.3	wikidata
hyperpituitarisme 	E22	wikidata
hypoganglionose 	Q43.2	wikidata
hypogammaglobulinémie transitoire de nourrisson 	D80.7	wikidata
hypoprothrombinémie 	D68.2	wikidata
histiocytes bleu de mer 	D76.3	wikidata
ichtyose lier à le x 	Q80.1	wikidata
urticaire cholinergique 	L50.5	wikidata
laryngite aigu 	J04.0	wikidata
leuco- oedème 	K13.2	wikidata
lutéome 	C56.9	wikidata
macrotie 	Q17.1	wikidata
leucémie érythroïde aigüe 	C94.0	wikidata
maladie immunitaire 	D89.9	wikidata
méningite tuberculeux 	G01	wikidata
microsphérophakie 	Q12.4	wikidata
myosite ossifiant circonscrire 	M61	wikidata
opsoclonie 	H57	wikidata
urticaire pigmentaire 	Q82.2	wikidata
périarthrite 	M77.9	wikidata
perforation utérin 	S37	wikidata
pseudo- obstruction colique 	K59.8	wikidata
utérus didelphe 	Q51.1	wikidata
sclérème de nouveau-né 	P83.0	wikidata
maladie de agglutinine froid 	D59.1	wikidata
syndrome de sevrage tabagique 	F17	wikidata
syndrome de crisponi 	G90.8	wikidata
syndrome de laurence-moon 	Q87.8	wikidata
dyssynergie cérébelleux myoclonique 	G11.1	wikidata
syndrome type de barsy 	Q87.8	wikidata
syringobulbie 	G95.0	wikidata
tachycardie paroxystique 	I47	wikidata
pneumoconiose devoir à talc 	J62.0	wikidata
vaginite atrophique 	N95.2	wikidata
adénome de le parathyroïde 	D35.1	wikidata
malnutrition protéino- énergétique 	E46	wikidata
hémianopsie binasal 	H53.4	wikidata
trouble bipolaire de type ii 	F31.8	wikidata
spondylopathie traumatique 	M48.3	wikidata
hypoxie foetal 	P20	wikidata
urétérite 	N28.8	wikidata
ectasie galactophorique 	N60.4	wikidata
sténose trachéal 	Q32.1	wikidata
céphalée vasculaire 	G44.1	wikidata
polyendocrinopathie auto- immun type 2 	E31.0	wikidata
myopathie inflammatoire 	G72.4	wikidata
macroglobulinémie 	C88.0	wikidata
doigt à ressaut 	M65.3	wikidata
astrocytome pilocytique 	C71	wikidata
pityriasis lichénoïde chronique 	L41.1	wikidata
insuffisance placentaire 	P02.2	wikidata
leucémie à prolymphocyte 	C91.3	wikidata
hypergonadisme 	E29.0	wikidata
inhalation de fumée 	J68.9	wikidata
syndrome de wallenberg 	G46.3	wikidata
blessure par arme à feu 	T14.1	wikidata
bloc de branche gauche 	I44.60	wikidata
amaurose fugace 	G45.3	wikidata
rhabdomyome 	D21	wikidata
cardiomyopathie restrictif 	I42.5	wikidata
stent prostatique 	N40	wikidata
syndrome néphrotique congénital 	N04	wikidata
ainhum 	L94.6	wikidata
ulcère de marjolin 	C44.L12	wikidata
syndrome de nelson 	E24.1	wikidata
syndrome de sézary 	C84.1	wikidata
syndrome de ros 	L74.8	wikidata
miliaire cristallin 	L74.1	wikidata
bosse de écriture 	L84	wikidata
maladie de sanfilippo 	E76.2	wikidata
syndrome de miller-dieker 	Q04.3	wikidata
maladie neuromusculaire 	G70.9	wikidata
syndrome de fatigue post-viral 	G93.3	wikidata
spasmophilie 	R06.4	wikidata
verrue plantaire 	B07.0	wikidata
anévrisme de le aorte abdominal 	I71.4	wikidata
capillariose intestinal 	B81.1	wikidata
déviation de le cloison nasal 	J34.2	wikidata
syndrome de carpenter 	Q87.0	wikidata
pseudohermaphrodisme 	Q56.3	wikidata
alopéthie androgénique 	L64	wikidata
atrophie musculaire progressif 	G12.21	wikidata
syndrome de stickler 	Q87.8	wikidata
fracture de pouteau-colle 	S52.5	wikidata
fibrose pulmonaire idiopathique 	J84.112	wikidata
hémiparésie 	G81.9	wikidata
syndrome de sjögren–larsson 	Q87.1	wikidata
glomérulonéphrite membranoprolifératif 	N00	wikidata
tumeur de warthin 	D11	wikidata
cardiomyopathie alcoolique 	I42.6	wikidata
entorse de le cheville 	S93.4	wikidata
chlorose 	D50	wikidata
sphingolipidose 	E75.3	wikidata
discite 	M46.4	wikidata
sensation de vidange incomplet de le vessie 	R30.1	wikidata
syndrome de shulman 	M35.4	wikidata
foie cardiaque 	K76.1	wikidata
stéatose hépatique inflammatoire 	K70.1	wikidata
trouble de le dépersonnalisation 	F48.1	wikidata
iritis 	H20.0	wikidata
méningoencéphalite 	A69.22	wikidata
absence épileptique 	G40.3	wikidata
maladie de canavan 	E75.2	wikidata
pneumopathie radique 	J70.1	wikidata
micropsie 	H53	wikidata
fibroxanthome atypique 	C49	wikidata
syndrome post-encéphalitique 	F07.1	wikidata
maladie de werdnig-hoffmann 	G12.0	wikidata
éruption acnéiforme 	L70.8	wikidata
oedème de membre inférieur 	R60.0	wikidata
entérite nécrosant 	A05.2	wikidata
syringome 	D23.9	wikidata
ostéonécrose de maxillaire 	M87.1	wikidata
hypoaldostéronisme 	E27.4	wikidata
choroïdérémie 	H31.21	wikidata
troubles de sommeil dus à travail poster 	G47.2	wikidata
rhinite vasomotrice 	J30.0	wikidata
syndrome de char 	Q87.8	wikidata
tumeur oculaire 	C69	wikidata
nécrose tubulaire aigu 	N17.0	wikidata
trypanosomiase 	B57.2	wikidata
déformation en varus 	M21.1	wikidata
transaminase ast tgo 	R74.0	wikidata
endocardite infectieux 	I33	wikidata
trichofolliculome 	D23	wikidata
trichoépithéliome 	D23	wikidata
inflammation de côlon 	K52.9	wikidata
épitrochléite 	M77.1	wikidata
lobectomie 	3241	wikidata
cervicite 	N72	wikidata
mucinose réticulaire érythémateux 	L98.5	wikidata
gomme syphilitique 	A52.7	wikidata
maladie de wagner 	H35.5	wikidata
intoxication à manganèse 	T57.2	wikidata
monorchidie 	Q55.0	wikidata
onychogryphose 	L60.2	wikidata
hémorragie obstétrical 	O72	wikidata
maladie de le appareil urinaire 	N13	wikidata
incarcération utérin 	O34.5	wikidata
inversion utérin 	N85.5	wikidata
ventriculite cérébral 	G04.9	wikidata
dermatose vésiculobulleur 	L13.1	wikidata
trouble de le vision 	H53.8	wikidata
syndrome de wilson et mikity 	P27.0	wikidata
syndrome de le peau rider 	M35.8	wikidata
cécité nocturne stationnaire congénital lier à le x 	H53.6	wikidata
rachitisme vitamino- résister hypophosphatémique 	E83.3	wikidata
chondrodysplasie ponctuer récessif lier à le x 	Q77.3	wikidata
dysgénésie gonadique 46 , xx 	Q99.1	wikidata
yaba monkey tumor virus 	B08.8	wikidata
polypose naso- sinusienne 	J33	wikidata
fièvre zika 	A92.8	wikidata
maladie auto- immun 	D84.9	wikidata
acholie 	K82.8	wikidata
cardiopathie hypertensif 	I11.9	wikidata
trigonite 	N30.3	wikidata
neuropathie périphérique alcoolique 	G62.1	wikidata
anévrisme cardiaque 	I25.3	wikidata
hydrops endolymphatique 	H81.0	wikidata
hyperactivité associer à un retard mental et à de mouvement stéréotyper 	F84.4	wikidata
atrophie olivo- ponto- cérébelleux 	G23.8	wikidata
syndrome de netherton 	Q80.8	wikidata
déficit en biotine 	E53.8	wikidata
sinus de rokitansky-aschoff de le vésicule biliaire 	K82.8	wikidata
bradyopsie 	H53.8	wikidata
pneumonie à mycoplasme 	B96.0	wikidata
megalencephalie 	Q04.5	wikidata
anémier mégaloblastique 	D53.1	wikidata
surcharge en fer 	R79.0	wikidata
stéatose hépatique 	K70.0	wikidata
hypersécrétion hypophysaire de acth 	E24.0	wikidata
insuffisance vertébrobasilaire 	G45.0	wikidata
fasciite nodulaire 	M72.4	wikidata
cancer de le langue 	C02.2	wikidata
fièvre de nil occidental 	A92.30	wikidata
hyperméthioninémie 	E72.1	wikidata
ankylostomose 	B76.0	wikidata
rupture prématuré de membrane 	O42	wikidata
maladie de motoneurone 	G12.2	wikidata
dégénérescence de disque intervertébral 	M51.3	wikidata
platyspondylie 	Q76.4	wikidata
thyroïdite 	E06.9	wikidata
diabète insipide central 	E23.2	wikidata
hyménolépiase 	B71.0	wikidata
myosarcome 	C49	wikidata
cauchemar pathologique 	F51.5	wikidata
bloc de branche 	I45	wikidata
urémie 	N19	wikidata
neuropathie 	G62.9	wikidata
amylose héréditaire rénal 	E85.0	wikidata
hyperlysinémie 	E72.3	wikidata
hyperinsulinémie 	E16.1	wikidata
exanthème 	R21	wikidata
anotie 	Q17.0	wikidata
mal de mer 	T75.31	wikidata
neuropathie moteur périphérique héréditaire 	G60.0	wikidata
polykystose rénal 	Q61.3	wikidata
léthargie 	R53	wikidata
arthrose de poignet 	M19.93	wikidata
paratyphoïde avoir 	A01.1	wikidata
occlusion intestinal 	K56.69	wikidata
cyclocéphaliens 	Q87.0	wikidata
dysplasie mésomélique type langer 	Q87.1	wikidata
fundus albipunctatus 	H35.52	wikidata
