disorder name 	icd-10 code	source
syndrome de apnée de sommeil 	G47.3	wikidata
apnee de sommeil 	G47.3	wikidata
apnée de sommeil 	G47.3	wikidata
sac 	G47.3	wikidata
sahcs 	G47.3	wikidata
sahos 	G47.3	wikidata
shrvas 	G47.3	wikidata
syndrome de apnée de sommeil 	G47.3	wikidata
syndrome de apnée obstructif de sommeil 	G47.3	wikidata
syndrome de apnée central de sommeil 	G47.3	wikidata
aphte 	K12.0	wikidata
afte 	K12.0	wikidata
aphthe 	K12.0	wikidata
aphtose 	K12.0	wikidata
stomatite aphteux 	K12.0	wikidata
intolérance à lactose 	E73.9	wikidata
intolerance à lactose 	E73.9	wikidata
virus de le encéphalite équin de le est 	A83.2	wikidata
escarre 	L89.9	wikidata
ulcère de décubitus 	L89.9	wikidata
infection urinaire 	N30.0	wikidata
infection de voie urinaire 	N30.0	wikidata
infection urinaire 	N30.0	wikidata
fente labio- palatine 	Q37	wikidata
bec de lièvre 	Q37	wikidata
bec-de-lièvre 	Q37	wikidata
fente labiopalatin 	Q37	wikidata
troubles de rythme cardiaque 	I49	wikidata
trouble de rythme cardiaque 	I49	wikidata
fièvre de le vallée de rift 	A92.4	wikidata
fievre de le vallee de rift 	A92.4	wikidata
encéphalite à tique 	A84.1	wikidata
encéphalite à tique 	A84.1	wikidata
encéphalite de europe central 	A84.1	wikidata
encéphalite verno- estival russe 	A84.1	wikidata
encéphalite à tique 	A84.1	wikidata
fièvre de lait diphasique 	A84.1	wikidata
maladie de kumlinge 	A84.1	wikidata
maladie de schneider 	A84.1	wikidata
méningoencéphalite à tique 	A84.1	wikidata
méningoencéphalite biondulant 	A84.1	wikidata
méningoencéphalite diphasique 	A84.1	wikidata
énurésie nocturne 	F98.0	wikidata
enurésie 	F98.0	wikidata
énurésie 	F98.0	wikidata
enuresie nocturne 	F98.0	wikidata
énurétique 	F98.0	wikidata
pipi à lit 	F98.0	wikidata
fièvre à tique de colorado 	A93.2	wikidata
fievre avoir tique de colorado 	A93.2	wikidata
éjaculation précoce 	F52.4	wikidata
ejaculation precoce 	F52.4	wikidata
éjaculation prématuré 	F52.4	wikidata
virus de le encéphalite équin de le ouest 	A83.1	wikidata
cancer de testicule 	C62.90	wikidata
cancer de testicule 	C62.90	wikidata
cancer testiculaire 	C62.90	wikidata
cancer de testicule 	C62.90	wikidata
luxation 	T14.3	wikidata
luxation 	T14.3	wikidata
giardiase 	A07.1	wikidata
gardiose 	A07.1	wikidata
lambliase 	A07.1	wikidata
lambliose 	A07.1	wikidata
ostéoporose 	M81.0	wikidata
déminéralisation osseux 	M81.0	wikidata
osteoporose 	M81.0	wikidata
osteoporosis 	M81.0	wikidata
hémorragie 	R58	wikidata
hemorragie 	R58	wikidata
